gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
jasmine-core,3.99.0,15247262,0,0,11,False,,0,False,False,0,0,https://jasmine.github.io,jasmine.github.io,False,http://jasmine.github.io,,,https://github.com/jasmine/jasmine,https://github.com/jasmine/jasmine/issues,https://github.com/jasmine/jasmine
descriptive_statistics,2.5.1,15049215,0,0,21,False,,0,False,False,0,0,https://www.rubydoc.info/gems/descriptive_statistics/2.5.1,rubydoc.info,True,https://github.com/thirtysixthspan/descriptive_statistics,,,,,https://github.com/thirtysixthspan/descriptive_statistics
cucumber-create-meta,6.0.4,14413092,0,0,6,False,,0,False,True,0,0,https://cucumber.io/docs/gherkin/,cucumber.io,False,https://github.com/cucumber/create-meta,https://github.com/cucumber/create-meta/blob/main/CHANGELOG.md,,https://github.com/cucumber/create-meta/tree/main/ruby,https://github.com/cucumber/create-meta/issues,https://github.com/cucumber/create-meta
dependabot-dotnet_sdk,0.395.0,13682989,0,0,49,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-uv,0.395.0,13659693,0,0,395,False,,0,False,False,0,1,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-docker_compose,0.395.0,13659277,0,0,25,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
dependabot-helm,0.395.0,13654464,0,0,154,False,,0,False,False,0,0,,,False,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,,https://github.com/dependabot/dependabot-core/issues,https://github.com/dependabot/dependabot-core
sorbet-coerce,0.7.0,12491967,0,0,12,False,,0,False,False,0,0,https://www.rubydoc.info/gems/sorbet-coerce/0.7.0,rubydoc.info,True,https://github.com/chanzuckerberg/sorbet-coerce,,,,,https://github.com/chanzuckerberg/sorbet-coerce
api-pagination,7.1.0,12367634,0,0,34,False,,0,False,False,0,0,https://www.rubydoc.info/gems/api-pagination/7.1.0,rubydoc.info,True,https://github.com/davidcelis/api-pagination,,,,,https://github.com/davidcelis/api-pagination
minitest-stub_any_instance,1.0.3,10298952,0,0,1,False,,0,False,False,0,0,https://www.rubydoc.info/gems/minitest-stub_any_instance/1.0.3,rubydoc.info,True,https://github.com/codeodor/minitest-stub_any_instance,,,,,https://github.com/codeodor/minitest-stub_any_instance
goldiloader,6.0.0,9617831,0,0,51,False,,0,False,True,0,1,,,False,https://github.com/salsify/goldiloader,https://github.com/salsify/goldiloader/blob/master/CHANGELOG.md,,https://github.com/salsify/goldiloader/,https://github.com/salsify/goldiloader/issues,https://github.com/salsify/goldiloader
unicorn-rails,2.2.1,9582537,0,0,3,False,,0,False,False,0,0,https://www.rubydoc.info/gems/unicorn-rails/2.2.1,rubydoc.info,True,https://github.com/samuelkadolph/unicorn-rails,,,,,https://github.com/samuelkadolph/unicorn-rails
rspec-github,3.0.0,9432428,0,0,11,False,,0,False,False,0,0,,,False,https://drieam.github.io/rspec-github,,,https://github.com/drieam/rspec-github,,https://github.com/drieam/rspec-github
hiera-dyml,0.0.4,9399742,0,0,3,False,,0,False,False,0,0,,,False,http://github.com/provonet/hiera-dyml,,,https://github.com/provonet/hiera-dyml,,https://github.com/provonet/hiera-dyml
foreman-upstart-scaling,0.5.0,9008929,0,0,1,False,,0,False,False,0,0,,,False,http://github.com/fabiokung/foreman-upstart-scaling,,,https://github.com/fabiokung/foreman-upstart-scaling,,https://github.com/fabiokung/foreman-upstart-scaling
selenium-devtools,0.152.0,8720722,0,1,2349,False,,0,False,True,0,0,,,False,https://selenium.dev,https://github.com/SeleniumHQ/selenium/blob/trunk/rb/CHANGES,,https://github.com/SeleniumHQ/selenium/tree/trunk/rb,,https://github.com/seleniumhq/selenium
jquery-datatables-rails,3.4.0,8559225,0,0,6,False,,0,False,False,0,0,https://www.rubydoc.info/gems/jquery-datatables-rails/3.4.0,rubydoc.info,True,https://github.com/rweng/jquery-datatables-rails,,,,,https://github.com/rweng/jquery-datatables-rails
jekyll-coffeescript,2.0.0,8167541,0,0,4,False,,0,False,False,0,0,https://www.rubydoc.info/gems/jekyll-coffeescript/2.0.0,rubydoc.info,True,https://github.com/jekyll/jekyll-coffeescript,,,,,https://github.com/jekyll/jekyll-coffeescript
jekyll-include-cache,0.2.2,7685142,0,0,11,False,,0,False,False,0,0,https://www.rubydoc.info/gems/jekyll-include-cache/0.2.2,rubydoc.info,True,https://github.com/benbalter/jekyll-include-cache,,,,,https://github.com/benbalter/jekyll-include-cache
yaml-lint,0.1.2,7385635,0,0,9,False,,0,False,False,0,0,,,False,https://github.com/Pryz/yaml-lint,,,,https://github.com/Pryz/yaml-lint/issues,https://github.com/pryz/yaml-lint
paquet,0.2.1,7230443,0,0,28,False,,0,False,False,0,0,https://www.rubydoc.info/gems/paquet/0.2.1,rubydoc.info,True,https://github.com/elastic/logstash,,,,,https://github.com/elastic/logstash
csv-safe,3.3.3,6306140,0,0,7,False,,0,False,False,0,0,,,False,https://github.com/zvory/csv-safe,,,,,https://github.com/zvory/csv-safe
paypalhttp,2.0.1,4902857,0,0,37,False,,0,False,False,0,0,https://www.rubydoc.info/gems/paypalhttp/2.0.1,rubydoc.info,True,,,,,,
judoscale-rails,1.13.3,4327574,0,0,4,False,,0,False,False,0,0,https://judoscale.com/docs,judoscale.com,False,https://judoscale.com,https://github.com/judoscale/judoscale-ruby/blob/main/CHANGELOG.md,,https://github.com/judoscale/judoscale-ruby,https://github.com/judoscale/judoscale-ruby/issues,https://github.com/judoscale/judoscale-ruby
escape_code,0.2,4203864,0,0,21,False,,0,False,False,0,0,https://www.rubydoc.info/gems/escape_code/0.2,rubydoc.info,True,https://github.com/javawizard/escape_code,,,,,https://github.com/javawizard/escape_code
judoscale-sidekiq,1.13.3,3647735,0,0,2,False,,0,False,False,0,0,https://judoscale.com/docs,judoscale.com,False,https://judoscale.com,https://github.com/judoscale/judoscale-ruby/blob/main/CHANGELOG.md,,https://github.com/judoscale/judoscale-ruby,https://github.com/judoscale/judoscale-ruby/issues,https://github.com/judoscale/judoscale-ruby
protobug_well_known_protos,0.2.0,3591520,0,0,55,False,,0,False,False,0,0,https://www.rubydoc.info/gems/protobug_well_known_protos/0.2.0,rubydoc.info,True,https://github.com/segiddins/protobug/blob/v0.2.0/gen/protobug_well_known_protos,,,,,https://github.com/segiddins/protobug
protobug_googleapis_field_behavior_protos,0.2.0,3591259,0,0,1,False,,0,False,False,0,0,https://www.rubydoc.info/gems/protobug_googleapis_field_behavior_protos/0.2.0,rubydoc.info,True,https://github.com/segiddins/protobug/blob/v0.2.0/gen/protobug_googleapis_field_behavior_protos,,,,,https://github.com/segiddins/protobug
protobug_sigstore_protos,0.2.0,3590619,0,0,7,False,,0,False,False,0,0,https://www.rubydoc.info/gems/protobug_sigstore_protos/0.2.0,rubydoc.info,True,https://github.com/segiddins/protobug/blob/v0.2.0/gen/protobug_sigstore_protos,,,,,https://github.com/segiddins/protobug
sigstore-cli,0.2.3,3561181,0,0,20,False,,0,False,False,0,0,,,False,https://github.com/sigstore/sigstore-ruby,,,,,https://github.com/sigstore/sigstore-ruby
rack-host-redirect,1.3.0,2147322,0,0,5,False,,0,False,False,0,0,https://www.rubydoc.info/gems/rack-host-redirect/1.3.0,rubydoc.info,True,https://github.com/gbuesing/rack-host-redirect,,,,,https://github.com/gbuesing/rack-host-redirect
leaflet-rails,1.9.5,1785427,0,0,2,False,,0,False,False,0,0,https://www.rubydoc.info/gems/leaflet-rails/1.9.5,rubydoc.info,True,,,,https://github.com/axyjo/leaflet-rails,https://github.com/axyjo/leaflet-rails/issues,https://github.com/axyjo/leaflet-rails
aroi,1.0.0,1294420,0,0,6,False,,0,False,False,0,0,https://www.rubydoc.info/gems/aroi/1.0.0,rubydoc.info,True,https://github.com/instructure/aroi,,,,,https://github.com/instructure/aroi
discourse-fonts,0.0.19,714148,0,0,2,False,,0,False,False,0,0,https://www.rubydoc.info/gems/discourse-fonts/0.0.19,rubydoc.info,True,https://github.com/discourse/discourse-fonts,,,,,https://github.com/discourse/discourse-fonts
outrigger,3.2.0,608518,0,0,12,False,,0,False,False,0,0,https://www.rubydoc.info/gems/outrigger/3.2.0,rubydoc.info,True,https://github.com/instructure/outrigger,,,,,https://github.com/instructure/outrigger
canvas_statsd,2.0.4,470949,0,0,55,False,,0,False,False,0,0,https://www.rubydoc.info/gems/canvas_statsd/2.0.4,rubydoc.info,True,https://github.com/instructure/canvas_statsd,,,,,https://github.com/instructure/canvas_statsd
starry,0.2.0,219274,0,0,39,False,,0,False,False,0,0,,,False,https://github.com/takemar/starry,,,,https://github.com/takemar/starry/issues,https://github.com/takemar/starry
kramdown-syntax-coderay,1.0.1,179552,0,0,3,False,,0,False,True,0,0,https://www.rubydoc.info/gems/kramdown-syntax-coderay/1.0.1,rubydoc.info,True,https://github.com/kramdown/syntax-coderay,,,,,https://github.com/kramdown/syntax-coderay
stormbreaker,1.0.0,145046,0,0,43,False,,0,False,False,0,0,https://www.rubydoc.info/gems/stormbreaker/1.0.0,rubydoc.info,True,,,,,,
huginn_agent,0.6.4,111812,0,0,23,False,,0,True,True,0,2,https://www.rubydoc.info/gems/huginn_agent/0.6.4,rubydoc.info,True,https://github.com/huginn/huginn,,,,,https://github.com/huginn/huginn
js_image_paths,0.2.0,89183,0,0,4,False,,0,False,True,0,1,https://www.rubydoc.info/gems/js_image_paths/0.2.0,rubydoc.info,True,https://github.com/jhass/js_image_paths,,,,,https://github.com/jhass/js_image_paths
inst_llm,0.2.4,83007,0,0,29,False,,0,False,False,0,0,,,False,https://instructure.com,,,,,
discourse_math_bundle,1.0.1,60357,0,0,7,False,,0,False,False,0,0,,,False,https://github.com/discourse/discourse_math_bundle,https://github.com/discourse/discourse_math_bundle/blob/main/CHANGELOG.md,,,,https://github.com/discourse/discourse_math_bundle
yabeda-actioncable,0.2.2,18505,0,0,29,False,,0,False,True,0,1,,,False,https://github.com/monorkin/yabeda-actioncable,https://github.com/monorkin/yabeda-actioncable/blob/main/CHANGELOG.md,,,,https://github.com/monorkin/yabeda-actioncable
