gem,version,released,status,gem_bytes,rb_files,native_files,functions,functions_ruby,functions_native,functions_public,functions_private,functions_protected,functions_module_function,native_languages,lines_code,lines_total,parse_errors,added,removed,net,running_total,drift
aws-sdk-mediastore,1.90.0,2026-07-09,ok,34816.0,11.0,0.0,48.0,48.0,0.0,46.0,2.0,0.0,0.0,,1082.0,3107.0,0.0,48.0,0.0,48.0,48.0,0.0
power_assert,3.1.0,2026-08-15,ok,15872.0,8.0,0.0,53.0,54.0,0.0,35.0,18.0,0.0,0.0,,631.0,737.0,0.0,53.0,0.0,53.0,53.0,0.0
aws-sdk-resourcegroups,1.100.0,2026-07-09,ok,49664.0,11.0,0.0,52.0,52.0,0.0,50.0,2.0,0.0,0.0,,1656.0,5590.0,0.0,52.0,0.0,52.0,52.0,0.0
aws-sdk-serverlessapplicationrepository,1.93.0,2026-07-09,ok,38400.0,11.0,0.0,47.0,47.0,0.0,45.0,2.0,0.0,0.0,,1480.0,4529.0,0.0,47.0,0.0,47.0,47.0,0.0
aws-sdk-connect,1.275.0,2026-09-03,ok,560640.0,11.0,0.0,473.0,473.0,0.0,471.0,2.0,0.0,0.0,,25850.0,90532.0,0.0,473.0,0.0,473.0,473.0,0.0
rqrcode_core,2.1.0,2026-01-07,ok,18944.0,14.0,0.0,83.0,83.0,0.0,68.0,14.0,1.0,0.0,,1047.0,1482.0,0.0,83.0,0.0,83.0,83.0,0.0
aws-sdk-kinesisvideomedia,1.85.0,2026-07-09,ok,24576.0,11.0,0.0,28.0,28.0,0.0,26.0,2.0,0.0,0.0,,447.0,1429.0,0.0,28.0,0.0,28.0,28.0,0.0
sentry-sidekiq,7.0.0,2026-09-01,ok,38400.0,9.0,0.0,32.0,33.0,0.0,27.0,5.0,0.0,0.0,,412.0,586.0,0.0,32.0,0.0,32.0,32.0,0.0
attr_required,1.0.2,2023-12-27,ok,8704.0,2.0,0.0,19.0,19.0,0.0,19.0,0.0,0.0,0.0,,99.0,127.0,0.0,19.0,0.0,19.0,19.0,0.0
aws-sdk-mediastoredata,1.86.0,2026-07-09,ok,27648.0,11.0,0.0,28.0,28.0,0.0,26.0,2.0,0.0,0.0,,591.0,1921.0,0.0,28.0,0.0,28.0,28.0,0.0
aws-sdk-iotjobsdataplane,1.83.0,2026-07-09,ok,29696.0,11.0,0.0,44.0,44.0,0.0,42.0,2.0,0.0,0.0,,793.0,2300.0,0.0,44.0,0.0,44.0,44.0,0.0
aws-sdk-autoscalingplans,1.89.0,2026-07-09,ok,36864.0,11.0,0.0,33.0,33.0,0.0,31.0,2.0,0.0,0.0,,868.0,3112.0,0.0,33.0,0.0,33.0,33.0,0.0
parslet,2.0.0,2020-02-16,ok,79872.0,44.0,0.0,331.0,332.0,0.0,322.0,9.0,0.0,6.0,,1824.0,3702.0,0.0,331.0,0.0,331.0,331.0,0.0
rack-oauth2,2.3.0,2025-11-05,ok,30208.0,49.0,0.0,196.0,196.0,0.0,181.0,15.0,0.0,0.0,,1677.0,1910.0,0.0,196.0,0.0,196.0,196.0,0.0
turbo-rails,2.0.23,2026-01-29,ok,202240.0,32.0,0.0,161.0,161.0,0.0,143.0,18.0,0.0,0.0,,908.0,2314.0,0.0,161.0,0.0,161.0,161.0,0.0
aws-sdk-fms,1.109.0,2026-07-09,ok,93184.0,11.0,0.0,69.0,69.0,0.0,67.0,2.0,0.0,0.0,,3308.0,10948.0,0.0,69.0,0.0,69.0,69.0,0.0
strong_migrations,2.8.0,2026-05-14,ok,31744.0,16.0,0.0,205.0,205.0,0.0,143.0,62.0,0.0,0.0,,1663.0,2189.0,0.0,205.0,0.0,205.0,205.0,0.0
rack-accept,0.4.5,2012-06-15,ok,14336.0,10.0,0.0,58.0,58.0,0.0,54.0,4.0,0.0,0.0,,312.0,530.0,0.0,58.0,0.0,58.0,58.0,0.0
aws-sdk-cloud9,1.105.0,2026-07-09,ok,34816.0,11.0,0.0,36.0,36.0,0.0,34.0,2.0,0.0,0.0,,927.0,3160.0,0.0,36.0,0.0,36.0,36.0,0.0
aws-sdk-acmpca,1.113.0,2026-08-05,ok,73216.0,12.0,0.0,88.0,88.0,0.0,84.0,4.0,0.0,0.0,,1918.0,7318.0,0.0,88.0,0.0,88.0,88.0,0.0
libddwaf,1.30.0.0.0,2025-11-11,ok,3265536.0,10.0,0.0,44.0,44.0,0.0,38.0,6.0,0.0,6.0,,641.0,905.0,0.0,44.0,0.0,44.0,44.0,0.0
paperclip,6.1.0,2018-07-27,ok,309248.0,71.0,0.0,556.0,557.0,0.0,415.0,122.0,19.0,0.0,,3833.0,5523.0,0.0,556.0,0.0,556.0,556.0,0.0
whenever,1.1.2,2026-01-18,ok,38912.0,15.0,0.0,96.0,102.0,0.0,65.0,6.0,25.0,0.0,,728.0,927.0,0.0,96.0,0.0,96.0,96.0,0.0
test-prof,1.6.3,2026-07-21,ok,309760.0,112.0,0.0,897.0,908.0,0.0,732.0,163.0,2.0,2.0,,6247.0,8806.0,0.0,897.0,0.0,897.0,897.0,0.0
numerizer,0.2.0,2014-04-23,ok,8704.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,,130.0,169.0,0.0,2.0,0.0,2.0,2.0,0.0
mustache,1.1.3,2026-08-20,ok,47616.0,10.0,0.0,129.0,136.0,0.0,92.0,37.0,0.0,0.0,,774.0,1621.0,0.0,129.0,0.0,129.0,129.0,0.0
sdoc,2.6.5,2025-10-18,ok,293376.0,8.0,0.0,53.0,53.0,0.0,35.0,0.0,18.0,0.0,,518.0,657.0,0.0,53.0,0.0,53.0,53.0,0.0
libv8,8.4.255.0,2020-07-21,ok,1528832.0,7.0,0.0,24.0,24.0,0.0,23.0,1.0,0.0,5.0,,212.0,269.0,0.0,24.0,0.0,24.0,24.0,0.0
paranoia,3.1.0,2025-11-07,ok,19456.0,4.0,0.0,55.0,56.0,0.0,45.0,10.0,0.0,0.0,,399.0,497.0,0.0,55.0,0.0,55.0,55.0,0.0
spreadsheet,1.3.5,2026-04-21,ok,370688.0,42.0,0.0,506.0,559.0,0.0,489.0,17.0,0.0,0.0,,4786.0,7494.0,0.0,506.0,0.0,506.0,506.0,0.0
aws-sdk-neptune,1.108.0,2026-07-09,ok,141312.0,13.0,0.0,164.0,164.0,0.0,159.0,5.0,0.0,0.0,,4990.0,20723.0,0.0,164.0,0.0,164.0,164.0,0.0
icalendar,2.12.4,2026-07-31,ok,50176.0,43.0,0.0,239.0,240.0,0.0,204.0,34.0,1.0,0.0,,1996.0,2616.0,0.0,239.0,0.0,239.0,239.0,0.0
logstash-output-sqs,6.0.0,2019-01-11,ok,14336.0,1.0,0.0,5.0,5.0,0.0,2.0,3.0,0.0,0.0,,79.0,170.0,0.0,5.0,0.0,5.0,5.0,0.0
attr_encrypted,4.2.0,2025-01-23,ok,31232.0,4.0,0.0,48.0,48.0,0.0,35.0,0.0,13.0,0.0,,340.0,664.0,0.0,48.0,0.0,48.0,48.0,0.0
aws-sdk-iotanalytics,1.93.0,2026-01-16,ok,61440.0,11.0,0.0,65.0,65.0,0.0,63.0,2.0,0.0,0.0,,2593.0,7479.0,0.0,65.0,0.0,65.0,65.0,0.0
logstash-filter-translate,3.5.1,2026-07-30,ok,33792.0,13.0,0.0,71.0,71.0,0.0,51.0,14.0,6.0,0.0,,719.0,1042.0,0.0,71.0,0.0,71.0,71.0,0.0
aws-sdk-mediatailor,1.127.0,2026-09-04,ok,108544.0,11.0,0.0,65.0,65.0,0.0,63.0,2.0,0.0,0.0,,3385.0,13190.0,0.0,65.0,0.0,65.0,65.0,0.0
aws-sdk-lambdapreview,1.50.0,2024-09-03,ok,28672.0,7.0,0.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0,,646.0,2311.0,0.0,30.0,0.0,30.0,30.0,0.0
aws-sdk-pi,1.98.0,2026-07-09,ok,45056.0,11.0,0.0,35.0,35.0,0.0,33.0,2.0,0.0,0.0,,1261.0,4607.0,0.0,35.0,0.0,35.0,35.0,0.0
gapic-common,1.3.0,2026-03-05,ok,46080.0,42.0,0.0,274.0,277.0,0.0,228.0,42.0,4.0,0.0,,2081.0,4890.0,0.0,274.0,0.0,274.0,274.0,0.0
socksify,1.8.1,2025-07-20,ok,24064.0,7.0,0.0,69.0,69.0,0.0,62.0,7.0,0.0,0.0,,460.0,619.0,0.0,69.0,0.0,69.0,69.0,0.0
rspec-parameterized,2.0.1,2025-11-30,ok,12800.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
aws-sdk-codestar,1.59.0,2024-08-09,ok,34816.0,11.0,0.0,62.0,62.0,0.0,60.0,2.0,0.0,0.0,,1509.0,3944.0,0.0,62.0,0.0,62.0,62.0,0.0
aws-sdk-mobile,1.55.0,2024-07-18,ok,27648.0,11.0,0.0,50.0,50.0,0.0,48.0,2.0,0.0,0.0,,993.0,2502.0,0.0,50.0,0.0,50.0,50.0,0.0
amq-protocol,2.9.0,2026-08-27,ok,26624.0,18.0,0.0,371.0,371.0,0.0,369.0,0.0,2.0,0.0,,2663.0,3760.0,0.0,371.0,0.0,371.0,371.0,0.0
aws-sdk-alexaforbusiness,1.71.0,2024-05-14,ok,90112.0,11.0,0.0,230.0,230.0,0.0,228.0,2.0,0.0,0.0,,6061.0,14590.0,0.0,230.0,0.0,230.0,230.0,0.0
ruby_dep,1.5.0,2016-10-09,ok,11776.0,8.0,0.0,41.0,41.0,0.0,23.0,18.0,0.0,0.0,,266.0,337.0,0.0,41.0,0.0,41.0,41.0,0.0
hana,1.3.7,2020-12-03,ok,13824.0,1.0,0.0,22.0,22.0,0.0,12.0,10.0,0.0,0.0,,196.0,249.0,0.0,22.0,0.0,22.0,22.0,0.0
cgi,0.5.2,2026-06-23,ok,41984.0,9.0,1.0,154.0,153.0,8.0,154.0,0.0,0.0,0.0,c,1529.0,3791.0,0.0,154.0,0.0,154.0,154.0,0.0
dry-equalizer,0.3.0,2019-11-07,ok,14848.0,3.0,0.0,13.0,14.0,0.0,8.0,5.0,0.0,0.0,,69.0,153.0,0.0,13.0,0.0,13.0,13.0,0.0
aws-sdk-s3control,1.134.0,2026-07-09,ok,164352.0,16.0,0.0,251.0,251.0,0.0,248.0,3.0,0.0,0.0,,7472.0,23293.0,0.0,251.0,0.0,251.0,251.0,0.0
proc_to_ast,0.2.0,2024-05-04,ok,9216.0,3.0,0.0,10.0,10.0,0.0,7.0,3.0,0.0,0.0,,93.0,126.0,0.0,10.0,0.0,10.0,10.0,0.0
aws-sdk-dlm,1.105.0,2026-07-09,ok,44032.0,11.0,0.0,40.0,40.0,0.0,38.0,2.0,0.0,0.0,,1158.0,4261.0,0.0,40.0,0.0,40.0,40.0,0.0
aws-sigv2,1.3.1,2025-06-10,ok,11264.0,3.0,0.0,19.0,19.0,0.0,9.0,10.0,0.0,0.0,,146.0,307.0,0.0,19.0,0.0,19.0,19.0,0.0
aws-sdk-transfer,1.143.0,2026-09-03,ok,155648.0,12.0,0.0,117.0,117.0,0.0,113.0,4.0,0.0,0.0,,4629.0,17552.0,0.0,117.0,0.0,117.0,117.0,0.0
openid_connect,2.5.0,2026-06-03,ok,33280.0,28.0,0.0,125.0,125.0,0.0,110.0,15.0,0.0,0.0,,1099.0,1242.0,0.0,125.0,0.0,125.0,125.0,0.0
json_schemer,2.5.0,2025-12-09,ok,54272.0,50.0,0.0,309.0,310.0,0.0,286.0,23.0,0.0,0.0,,7354.0,8027.0,0.0,309.0,0.0,309.0,309.0,0.0
